"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"1","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2021-12-01,110248741.88,1103895.494,6649595.598,99.872,16.58,302.884,99.95
"2","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-01-01,109811291.06,1117896.455,6297014.585,98.23,17.439,306.169,99.96
"3","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-02-01,88677284.18,845274.317,5616168.933,104.909,15.79,289.134,99.96
"4","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-03-01,103577566.64,991639.981,6627709.788,104.451,15.628,271.638,99.96
"5","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-04-01,113982843.04,1116203.335,7040023.907,102.117,16.191,305.565,99.96
"6","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-05-01,117999754.25,1112336.658,7305344.601,106.083,16.153,253.581,99.96
"7","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-06-01,119282039.95,1108143.389,7294175.176,107.641,16.353,302.585,99.96
"8","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-07-01,130394228.23,1198594.966,7893742.496,108.789,16.519,326.425,94.95
"9","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-08-01,130211916.34,1173915.467,8010701.283,110.921,16.255,265.604,99.97
"10","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-09-01,127996219.02,1142801.515,8032547.972,112.002,15.935,310.129,99.95
"11","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-10-01,130234582.05,1144975.222,8298949.975,113.744,15.693,310.704,99.95
"12","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-11-01,119982985.16,1053641.178,7545980.188,113.875,15.9,286.153,99.94
"13","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2022-12-01,129872471.33,1189402.073,7639980.869,109.191,16.999,322.548,99.95
"14","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-01-01,130534629.24,1198190.245,7317903.188,108.943,17.838,269.292,99.96
"15","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-02-01,104129779.7,869310.226,6071797.376,119.784,17.15,234.414,99.98
"16","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-03-01,120763230.04,1010592.327,7229291.942,119.497,16.705,272.141,99.97
"17","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-04-01,132500819.73,1142102.622,7953432.001,116.015,16.66,307.216,99.98
"18","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-05-01,139053908.46,1176288.208,8343945.196,118.214,16.665,262.905,99.98
"19","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-06-01,133915094.75,1119213.612,7911665.472,119.651,16.926,299.608,99.99
"20","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-07-01,149876817.82,1272253.283,8668858.273,117.804,17.289,340.474,99.99
"21","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-08-01,149491303.03,1261651.247,8449357.958,118.489,17.693,336.59,99.97
"22","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-09-01,142769478.49,1181424.981,8019096.499,120.845,17.804,314.732,99.97
"23","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-10-01,146169540.46,1201603.841,8252760.206,121.645,17.712,266.362,99.95
"24","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-11-01,138391645.42,1132265.504,7744110.743,122.225,17.871,300.462,99.96
"25","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2023-12-01,146660069.36,1252137.765,7786266.469,117.128,18.836,331.357,99.98
"26","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-01-01,143132002.58,1240169.561,7136204.32,115.413,20.057,270.353,99.99
"27","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-02-01,120815708.51,970846.133,6446872.213,124.444,18.74,253.412,99.99
"28","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-03-01,134308949.54,1066392.943,7204049.517,125.947,18.644,277.547,99.99
"29","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-04-01,140938766.03,1141879.107,7447737.04,123.427,18.924,247.047,99.99
"30","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-05-01,149410059.13,1184698.884,7904111.007,126.116,18.903,306.64,99.99
"31","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-06-01,151049152.27,1197164.334,8100855.258,126.172,18.646,309.698,99.99
"32","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-07-01,161841213.62,1301640.57,8539817.466,124.336,18.951,284.847,99.99
"33","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-08-01,161031756.59,1301926.485,8425390.437,123.687,19.113,343.697,99.99
"34","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-09-01,157391552.65,1270575.618,8247170.078,123.874,19.084,335.399,100
"35","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-10-01,161967752.1,1285976.841,8417474.602,125.949,19.242,339.212,99.99
"36","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-11-01,146994342.92,1169341.096,7634782.323,125.707,19.253,307.243,99.99
"37","Autoservicios Area 1_MT","INDIVIDUAL","COLA",2024-12-01,157114881.56,1268040.589,7869259.782,123.904,19.966,275.951,100
"38","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2021-12-01,70459034.156,911355.714,3849068.015,139.681586956522,12.8894347826087,3.29197826086957,24.8973369565217
"39","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-01-01,72132479.635,934755.75,3774204.428,136.02575,12.8236086956522,3.36919565217391,24.9975217391304
"40","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-02-01,50701322.857,614834.564,2994016.582,148.720641304348,13.2959782608696,2.97519565217391,25.2223152173913
