"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"1","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2021-12-01,888217186.92,9879378.025,53734776.41,89.906,16.53,397.53,99.95
"2","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-01-01,860397910.88,9601494.691,49727003.21,89.611,17.302,384.523,99.92
"3","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-02-01,683604509.91,7226059.603,43580625.89,94.603,15.686,361.653,99.88
"4","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-03-01,836663003.68,8768618.81,55484831.33,95.416,15.079,349.572,99.85
"5","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-04-01,903815405.39,9495680.979,59107719.18,95.182,15.291,378.019,99.85
"6","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-05-01,998563062.31,10320396.61,65607442.69,96.756,15.22,342.295,99.84
"7","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-06-01,976069659.74,10071668.99,63908940.48,96.912,15.273,400.657,99.9
"8","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-07-01,1023541666.28,10447243.06,65903785.51,97.972,15.531,414.685,99.35
"9","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-08-01,1024798206.99,10374601.95,64955287.39,98.78,15.777,341.636,99.99
"10","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-09-01,975773924.83,9801365.144,63138080.96,99.555,15.455,387.049,99.96
"11","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-10-01,950564789.85,9429767.684,63163444.34,100.805,15.049,372.202,99.89
"12","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-11-01,944400024.39,9374323.343,63041995.95,100.743,14.98,370.21,99.88
"13","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2022-12-01,1098528310.78,11341266.6,69063354.95,96.861,15.906,446.954,99.96
"14","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-01-01,1074824351.58,10971629.22,65112553.85,97.964,16.507,356.724,99.97
"15","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-02-01,869754006.34,8324844.864,56977721.59,104.477,15.265,324.216,99.98
"16","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-03-01,1036247992.41,9738602.177,68546366.6,106.406,15.117,378.144,99.99
"17","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-04-01,1077698888.78,10248785.36,68699986.75,105.154,15.687,397.274,99.99
"18","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-05-01,1148861632.11,10799699.76,72728152.97,106.379,15.797,347.932,99.99
"19","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-06-01,1156914218.15,10787395.25,71663716.14,107.247,16.144,416.312,99.96
"20","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-07-01,1239974686.38,11712947.84,76102228.33,105.864,16.294,453.221,99.93
"21","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-08-01,1203642726.26,11324979.54,72287204.14,106.282,16.651,435.547,99.94
"22","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-09-01,1161918511.35,10885674.13,69328181.72,106.738,16.76,418.335,99.93
"23","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-10-01,1124871976.62,10365049.82,68503987.49,108.525,16.421,330.921,99.93
"24","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-11-01,1068567387.09,9774100.615,64466364.88,109.326,16.576,375.097,99.92
"25","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2023-12-01,1218420512.92,11615851.59,68909625.74,104.893,17.681,442.222,99.93
"26","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-01-01,1169812709.64,11129169.08,64125596.54,105.112,18.243,349.805,99.94
"27","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-02-01,1030522982.7,9258434.97,61171015.85,111.306,16.847,349.018,99.93
"28","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-03-01,1170030221.91,10365538.49,71346828.34,112.877,16.399,387.641,99.92
"29","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-04-01,1221107857.88,10941261.36,71936819.63,111.606,16.975,340.474,99.95
"30","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-05-01,1363740643.52,11984174.89,81818309.47,113.795,16.668,446.82,99.97
"31","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-06-01,1382567344,12176552.22,81104015.91,113.543,17.047,453.243,99.95
"32","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-07-01,1332122671.61,11816916.7,75815267.77,112.73,17.571,367.355,99.95
"33","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-08-01,1288179503.01,11404577.73,72472763.63,112.953,17.775,426.101,99.93
