"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"1","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2021-12-01,2061675365,24340701.41,121024716.1,84.701,17.035,125.249,98.962289
"2","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-01-01,2016568206,24219219.49,114650816,83.263,17.589,124.09,99.337388
"3","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-02-01,1879725571,22285659.78,109702997.9,84.347,17.135,130.713,99.361644
"4","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-03-01,2205164475,25528747.58,127878618.5,86.38,17.244,130.837,99.31484
"5","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-04-01,2267312289,26229373.97,129135504,86.442,17.558,130.645,99.345474
"6","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-05-01,2470061000,28467672.55,140073686.7,86.767,17.634,121.457,99.388487
"7","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-06-01,2331545490,26371807.69,130295409.9,88.411,17.894,130.279,99.47987
"8","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-07-01,2347144465,26421338.4,128765213.7,88.835,18.228,134.274,99.472573
"9","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-08-01,2298964711,25775215.86,124520717.9,89.193,18.463,109.15,99.482938
"10","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-09-01,2282870419,25411504.33,121422241.4,89.836,18.801,125.497,99.500919
"11","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-10-01,2264616229,25126526.58,121437968.7,90.129,18.648,127.54,99.54246
"12","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-11-01,2277468722,25046223.74,122128385.1,90.931,18.648,123.323,99.497191
"13","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2022-12-01,2308097105,24894510.9,119747069.9,92.715,19.275,125.999,99.478794
"14","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-01-01,2247600209,24408459.19,112411585,92.083,19.994,102.885,99.480961
"15","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-02-01,2093794760,22328700.02,107254460.5,93.771,19.522,103.334,99.586306
"16","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-03-01,2399473700,25351148.09,123949481.1,94.65,19.358,128.315,99.440012
"17","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-04-01,2468481308,26265662.28,125272584.7,93.981,19.705,128.512,99.521203
"18","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-05-01,2541702610,26805926.62,128657590.1,94.819,19.756,112.39,99.518294
"19","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-06-01,2594624290,26867785.26,131654979.2,96.57,19.708,131.36,99.541233
"20","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-07-01,2652011059,27581423.47,133643864.1,96.152,19.844,137.624,99.493757
"21","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-08-01,2542441775,26649964.3,127807926.1,95.401,19.893,133.385,99.155976
"22","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-09-01,2534303355,26405518.16,126691148.2,95.976,20.004,128.128,99.425868
"23","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-10-01,2560347894,26619094.54,128587100.9,96.185,19.911,110.661,99.434093
"24","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-11-01,2485812152,25564815.84,123904509.3,97.236,20.062,123.351,99.521875
"25","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2023-12-01,2446149203,25078664.86,119201441.1,97.539,20.521,124.456,99.445819
"26","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-01-01,2480447801,25754998.47,117582793.1,96.309,21.095,106.499,99.411175
"27","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-02-01,2394901966,24340931.91,115505362.3,98.39,20.734,114.011,99.434657
"28","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-03-01,2860976516,28638338.04,138429143.6,99.9,20.667,140.864,99.457541
"29","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-04-01,2867438815,28915636.64,136942478.8,99.166,20.939,115.335,99.32566
"30","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-05-01,3179738428,31685716.96,152351557.1,100.352,20.871,155.91,99.363019
"31","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-06-01,3131234926,31055651.71,149238505.4,100.827,20.981,148.494,99.420902
"32","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-07-01,2875259930,28724983.3,135800478.9,100.096,21.173,117.267,99.403212
"33","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-08-01,2868990038,28727925.86,134798807.9,99.868,21.283,140.852,99.281651
"34","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-09-01,2863204742,28670138.36,134048586.7,99.867,21.359,136.613,99.299823
"35","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-10-01,2736080867,26883866.43,126951227.4,101.774,21.552,131.579,99.386424
"36","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-11-01,2810429937,27381287.11,131497465.2,102.641,21.373,130.533,99.132253
"37","Total_ Area 5_MT _A","INDIVIDUAL","COLA",2024-12-01,2861391697,28032946.41,133186636.8,102.072,21.484,114.404,99.211271
"38","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2021-12-01,1068976838.3,14500173.273,62991708.926,147.061641509434,14.2143962264151,1.06078301886792,17.2004826320755
"39","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-01-01,1110874772.93,15220476.633,63357268.221,171.622150943396,15.6442358490566,1.12101886792453,17.1532883490566
"40","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-02-01,940531843.82,12557976.798,55532642.653,154.806103773585,14.7099716981132,1.09509433962264,17.1762257169811
"41","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-03-01,1137971283.99,14755324.224,67775386.827,161.074943396226,14.5754811320755,1.0818679245283,17.4711624433962
"42","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-04-01,1226344154.07,15754055.996,72288199.946,180.168811320755,15.7190188679245,1.16180188679245,17.5554066792453
"43","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-05-01,1389148335,17612439.262,81105605.672,166.684603773585,15.2460566037736,1.08620754716981,17.7390639245283
"44","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-06-01,1242539537.96,15749844.737,71609073.129,171.455650943396,15.395820754717,1.14766981132075,17.772025509434
"45","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-07-01,1233335984.05,15628050.734,70533946.668,164.34108490566,15.111320754717,1.16657547169811,17.7979321698113
"46","Total_ Area 5_MT _A","INDIVIDUAL","Sabores",2022-08-01,1210028321.34,15415477.379,68029073.088,173.65958490566,15.7502169811321,0.944292452830189,17.7673444716981
